fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Jose Aldo,Conor McGregor,KO/TKO,1,0:13,5 Rnd (5-5-5-5-5),John McCarthy,"December 12, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/354808cf38d9d73c,0,1 of 3,1 of 3,0,0,0:00,1,5 of 6,5 of 6,0,0,0:02,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,4 of 4,0 of 1,1 of 1,3 of 4,0 of 0,2 of 2
Chris Weidman,Luke Rockhold,KO/TKO,4,3:12,5 Rnd (5-5-5-5-5),Herb Dean,"December 12, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/354808cf38d9d73c,0,10 of 12,21 of 26,0,0,3:08,0,7 of 9,13 of 15,1,0,1:05,8 of 10,1 of 1,1 of 1,3 of 5,7 of 7,0 of 0,1 of 2,4 of 5,2 of 2,4 of 5,3 of 4,0 of 0
Francis Ngannou,Luis Henrique,KO/TKO,2,2:53,3 Rnd (5-5-5),John Hosegood,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,13 of 21,21 of 31,0,0,0:00,0,4 of 7,31 of 36,0,0,3:31,9 of 16,1 of 1,3 of 4,7 of 11,2 of 2,4 of 8,4 of 7,0 of 0,0 of 0,4 of 6,0 of 0,0 of 1
Sarah Kaufman,Valentina Shevchenko,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,8 of 17,32 of 41,0,0,0:06,0,15 of 20,27 of 32,0,0,3:12,3 of 8,1 of 3,4 of 6,6 of 10,2 of 7,0 of 0,8 of 11,5 of 6,2 of 3,5 of 9,9 of 9,1 of 2
CB Dollaway,Nate Marquardt,KO/TKO,2,0:28,3 Rnd (5-5-5),Herb Dean,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,13 of 30,13 of 30,0,0,0:03,0,13 of 23,13 of 23,0,0,0:03,8 of 21,3 of 6,2 of 3,10 of 27,3 of 3,0 of 0,1 of 8,7 of 9,5 of 6,12 of 22,1 of 1,0 of 0
Kamaru Usman,Leon Edwards,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,12 of 22,26 of 39,0,0,3:41,0,10 of 20,13 of 23,0,0,0:00,7 of 14,5 of 7,0 of 1,4 of 11,6 of 9,2 of 2,8 of 17,2 of 3,0 of 0,6 of 15,2 of 3,2 of 2
Cole Miller,Jim Alers,Could Not Continue,2,1:34,3 Rnd (5-5-5),Herb Dean,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,22 of 54,23 of 55,0,0,0:00,0,19 of 58,19 of 58,0,0,0:00,14 of 45,5 of 6,3 of 3,21 of 53,1 of 1,0 of 0,6 of 39,5 of 9,8 of 10,18 of 56,1 of 2,0 of 0
Josh Samman,Tamdan McCrory,Submission,3,4:10,3 Rnd (5-5-5),Jorge Alonso,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,6 of 8,26 of 35,0,0,3:13,0,3 of 5,3 of 6,0,0,1:33,2 of 4,3 of 3,1 of 1,1 of 1,0 of 0,5 of 7,2 of 3,1 of 2,0 of 0,0 of 1,2 of 3,1 of 1
Junior Dos Santos,Alistair Overeem,KO/TKO,2,4:43,3 Rnd (5-5-5),Dan Miragliotta,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,7 of 15,7 of 15,0,0,0:00,0,9 of 13,9 of 13,0,0,0:00,4 of 8,2 of 4,1 of 3,7 of 15,0 of 0,0 of 0,5 of 6,2 of 3,2 of 4,9 of 13,0 of 0,0 of 0
Joby Sanchez,Geane Herrera,KO/TKO,2,4:28,3 Rnd (5-5-5),Chris Tognoni,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,31 of 79,31 of 79,0,0,0:00,0,12 of 53,14 of 55,0,0,0:06,16 of 62,14 of 15,1 of 2,30 of 78,1 of 1,0 of 0,10 of 50,0 of 1,2 of 2,12 of 52,0 of 1,0 of 0
Julian Erosa,Marcin Wrzosek,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,20 of 29,41 of 53,1,0,1:51,0,11 of 27,48 of 67,0,0,1:46,4 of 12,15 of 16,1 of 1,9 of 15,11 of 14,0 of 0,10 of 25,0 of 1,1 of 1,6 of 19,5 of 8,0 of 0
Michael Johnson,Nate Diaz,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Alonso,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,30 of 94,30 of 94,0,0,0:00,0,21 of 66,21 of 66,0,0,0:00,5 of 45,10 of 28,15 of 21,30 of 94,0 of 0,0 of 0,17 of 58,1 of 3,3 of 5,21 of 66,0 of 0,0 of 0
Randa Markos,Karolina Kowalkiewicz,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,18 of 49,28 of 59,0,0,1:14,0,23 of 56,26 of 61,0,0,0:01,11 of 38,0 of 4,7 of 7,16 of 46,2 of 3,0 of 0,16 of 49,5 of 5,2 of 2,18 of 51,5 of 5,0 of 0
Charles Oliveira,Myles Jury,Submission,1,3:05,3 Rnd (5-5-5),John Hosegood,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,5 of 10,10 of 16,1,0,0:11,0,5 of 16,5 of 16,0,0,1:37,0 of 4,3 of 4,2 of 2,5 of 10,0 of 0,0 of 0,3 of 14,1 of 1,1 of 1,5 of 16,0 of 0,0 of 0
Joe Lauzon,Evan Dunham,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,19 of 55,21 of 57,0,0,0:15,0,39 of 94,40 of 95,0,0,0:09,17 of 51,2 of 4,0 of 0,14 of 50,5 of 5,0 of 0,28 of 80,9 of 12,2 of 2,33 of 84,6 of 10,0 of 0
Gabriel Gonzaga,Konstantin Erokhin,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,7 of 13,8 of 14,0,0,0:00,0,6 of 13,7 of 14,0,0,0:10,3 of 8,2 of 3,2 of 2,7 of 12,0 of 1,0 of 0,5 of 12,1 of 1,0 of 0,5 of 12,1 of 1,0 of 0
Rafael Dos Anjos,Donald Cerrone,KO/TKO,1,1:06,5 Rnd (5-5-5-5-5),Herb Dean,"December 19, 2015","Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c,0,26 of 44,26 of 44,0,0,0:09,0,4 of 7,4 of 7,0,0,0:00,21 of 39,4 of 4,1 of 1,19 of 31,1 of 2,6 of 11,2 of 5,1 of 1,1 of 1,4 of 7,0 of 0,0 of 0
Tatsuya Kawajiri,Jason Knight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,11 of 14,26 of 31,0,0,4:39,0,13 of 17,16 of 20,1,0,0:00,10 of 13,0 of 0,1 of 1,1 of 2,0 of 0,10 of 12,13 of 17,0 of 0,0 of 0,1 of 5,0 of 0,12 of 12
Frankie Edgar,Chad Mendes,KO/TKO,1,2:28,5 Rnd (5-5-5-5-5),John McCarthy,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,1,13 of 32,13 of 32,0,0,0:01,0,5 of 17,5 of 17,0,0,0:00,9 of 25,2 of 4,2 of 3,11 of 30,0 of 0,2 of 2,1 of 13,0 of 0,4 of 4,5 of 17,0 of 0,0 of 0
Artem Lobov,Ryan Hall,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Herb Dean,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,0 of 0,7 of 9,0,0,0:07,0,7 of 10,65 of 75,1,0,4:30,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,5 of 8,1 of 1,1 of 1,2 of 4,0 of 0,5 of 6
Charles Rosa,Kyle Bochniak,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Forman,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,24 of 56,25 of 57,0,0,0:02,1,17 of 33,17 of 33,0,0,0:23,7 of 29,8 of 14,9 of 13,24 of 56,0 of 0,0 of 0,12 of 27,2 of 2,3 of 4,15 of 29,0 of 0,2 of 4
Rob Font,Joey Gomez,KO/TKO,2,4:13,3 Rnd (5-5-5),Herb Dean,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,19 of 41,23 of 46,0,0,1:05,0,13 of 44,17 of 48,0,0,0:00,10 of 29,6 of 7,3 of 5,18 of 40,1 of 1,0 of 0,10 of 39,1 of 3,2 of 2,7 of 37,6 of 7,0 of 0
Edson Barboza,Tony Ferguson,Submission,2,2:54,3 Rnd (5-5-5),John McCarthy,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,30 of 58,33 of 62,0,0,1:20,0,36 of 75,43 of 85,0,0,0:05,13 of 32,16 of 25,1 of 1,27 of 54,0 of 0,3 of 4,25 of 62,6 of 7,5 of 6,27 of 65,1 of 1,8 of 9
Ilir Latifi,Sean O'Connell,KO/TKO,1,0:30,3 Rnd (5-5-5),Kevin MacDonald,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,1,2 of 3,2 of 3,0,0,0:01,0,1 of 3,1 of 3,0,0,0:00,2 of 3,0 of 0,0 of 0,2 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
Ryan LaFlare,Mike Pierce,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"December 11, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c,0,15 of 45,20 of 50,0,0,0:00,0,5 of 25,5 of 26,0,0,0:53,9 of 34,5 of 10,1 of 1,15 of 45,0 of 0,0 of 0,2 of 21,0 of 1,3 of 3,5 of 25,0 of 0,0 of 0
Francimar Barroso,Elvis Mutapcic,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Rita,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,10 of 18,41 of 53,0,0,2:49,0,10 of 26,36 of 53,0,0,0:00,5 of 12,2 of 3,3 of 3,7 of 12,0 of 0,3 of 6,9 of 23,1 of 2,0 of 1,3 of 16,0 of 0,7 of 10
Tim Boetsch,Ed Herman,KO/TKO,2,1:39,3 Rnd (5-5-5),Kevin MacDonald,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,20 of 49,23 of 52,0,0,0:08,0,29 of 56,34 of 61,0,0,0:00,12 of 38,3 of 5,5 of 6,17 of 41,3 of 8,0 of 0,16 of 42,6 of 7,7 of 7,19 of 42,10 of 14,0 of 0
Patrick Cote,Ben Saunders,KO/TKO,2,1:14,3 Rnd (5-5-5),Steve Rita,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,20 of 33,32 of 45,1,1,1:22,0,5 of 15,38 of 48,0,0,1:34,12 of 19,2 of 6,6 of 8,6 of 15,0 of 0,14 of 18,2 of 12,3 of 3,0 of 0,3 of 13,1 of 1,1 of 1
Paul Felder,Daron Cruickshank,Submission,3,3:56,3 Rnd (5-5-5),Steve Rita,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,14 of 32,17 of 35,1,0,0:35,0,18 of 33,25 of 42,0,0,1:52,8 of 22,2 of 5,4 of 5,8 of 21,5 of 9,1 of 2,8 of 20,7 of 10,3 of 3,14 of 23,3 of 8,1 of 2
Chris Wade,Mehdi Baghdad,Submission,1,4:30,3 Rnd (5-5-5),Gary Forman,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,5 of 13,40 of 58,1,0,4:16,0,1 of 5,2 of 6,0,0,0:00,4 of 12,0 of 0,1 of 1,1 of 3,0 of 0,4 of 10,1 of 5,0 of 0,0 of 0,0 of 4,0 of 0,1 of 1
Maximo Blanco,Luke Sanders,Submission,1,3:38,3 Rnd (5-5-5),Herb Dean,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,16 of 39,17 of 40,1,0,0:29,1,26 of 48,27 of 49,1,0,0:12,2 of 25,7 of 7,7 of 7,16 of 37,0 of 1,0 of 1,21 of 42,1 of 1,4 of 5,24 of 43,0 of 3,2 of 2
Travis Browne,Matt Mitrione,KO/TKO,3,4:09,3 Rnd (5-5-5),Gary Forman,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,8 of 24,8 of 24,0,0,0:00,1,8 of 25,9 of 26,0,0,0:00,1 of 9,6 of 13,1 of 2,7 of 23,1 of 1,0 of 0,4 of 21,1 of 1,3 of 3,7 of 21,1 of 4,0 of 0
TJ Dillashaw,Dominick Cruz,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,19 of 87,26 of 94,0,0,0:12,0,21 of 62,21 of 62,0,0,0:07,9 of 73,7 of 11,3 of 3,19 of 83,0 of 4,0 of 0,17 of 56,2 of 4,2 of 2,19 of 59,2 of 3,0 of 0
Ross Pearson,Francisco Trinaldo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,8 of 29,8 of 29,0,0,0:00,0,9 of 29,9 of 29,0,0,0:01,2 of 21,4 of 5,2 of 3,8 of 29,0 of 0,0 of 0,7 of 24,1 of 3,1 of 2,9 of 29,0 of 0,0 of 0
Yui Chul Nam,Mike de la Torre,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,"November 28, 2015","Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950,0,27 of 51,41 of 66,0,0,2:08,0,20 of 37,60 of 81,0,0,1:58,13 of 30,14 of 21,0 of 0,6 of 20,21 of 31,0 of 0,15 of 32,4 of 4,1 of 1,11 of 24,9 of 13,0 of 0
Dongi Yang,Jake Collier,KO/TKO,2,1:50,3 Rnd (5-5-5),Herb Dean,"November 28, 2015","Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950,0,18 of 26,27 of 36,0,0,0:42,1,20 of 37,27 of 44,0,0,1:47,13 of 21,4 of 4,1 of 1,13 of 19,1 of 1,4 of 6,7 of 19,9 of 13,4 of 5,18 of 34,2 of 3,0 of 0
Dooho Choi,Sam Sicilia,KO/TKO,1,1:33,3 Rnd (5-5-5),Greg Kleynjans,"November 28, 2015","Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950,1,18 of 26,18 of 26,0,0,0:07,0,8 of 19,8 of 19,0,0,0:00,17 of 25,1 of 1,0 of 0,13 of 20,1 of 1,4 of 5,6 of 16,0 of 1,2 of 2,8 of 19,0 of 0,0 of 0
Anthony Pettis,Eddie Alvarez,Decision - Split,3,5:00,3 Rnd (5-5-5),,"January 17, 2016","Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8,0,11 of 23,35 of 47,0,0,0:00,0,4 of 10,18 of 26,0,0,3:07,3 of 13,7 of 9,1 of 1,8 of 17,3 of 6,0 of 0,0 of 6,2 of 2,2 of 2,3 of 9,1 of 1,0 of 0
Benson Henderson,Jorge Masvidal,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"November 28, 2015","Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950,0,25 of 42,27 of 45,0,0,0:18,0,25 of 48,41 of 67,0,0,0:03,11 of 24,7 of 9,7 of 9,24 of 41,1 of 1,0 of 0,10 of 32,12 of 13,3 of 3,22 of 44,3 of 4,0 of 0
Dong Hyun Kim,Dominic Waters,KO/TKO,1,3:11,3 Rnd (5-5-5),Leon Roberts,"November 28, 2015","Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950,0,6 of 8,91 of 95,0,0,2:00,0,0 of 0,0 of 0,0,0,0:53,5 of 7,1 of 1,0 of 0,0 of 1,1 of 1,5 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Yoshihiro Akiyama,Alberto Mina,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,"November 28, 2015","Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950,0,18 of 37,18 of 37,0,0,0:02,0,17 of 46,17 of 46,0,0,0:08,6 of 20,0 of 1,12 of 16,18 of 37,0 of 0,0 of 0,5 of 31,2 of 2,10 of 13,17 of 46,0 of 0,0 of 0
Kailin Curran,Emily Kagan,Submission,2,4:13,3 Rnd (5-5-5),Marc Goddard,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,8 of 16,15 of 23,1,0,0:04,0,8 of 20,28 of 42,0,0,4:10,2 of 9,5 of 6,1 of 1,5 of 11,3 of 5,0 of 0,7 of 18,1 of 2,0 of 0,6 of 13,2 of 7,0 of 0
Santiago Ponzinibbio,Andreas Stahl,KO/TKO,1,4:25,3 Rnd (5-5-5),Herb Dean,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,1,48 of 77,49 of 78,0,0,0:13,0,14 of 34,14 of 35,0,0,0:16,35 of 63,6 of 7,7 of 7,45 of 73,1 of 2,2 of 2,5 of 23,4 of 5,5 of 6,14 of 34,0 of 0,0 of 0
Antonio Carlos Junior,Kevin Casey,Could Not Continue,1,0:11,3 Rnd (5-5-5),Mark Smith,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,1 of 4,1 of 4,0,0,0:00,0,0 of 2,0 of 2,0,0,0:00,0 of 3,1 of 1,0 of 0,1 of 4,0 of 0,0 of 0,0 of 1,0 of 0,0 of 1,0 of 2,0 of 0,0 of 0
Zubaira Tukhugov,Phillipe Nover,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,6 of 28,7 of 29,0,0,0:05,0,3 of 30,3 of 30,0,0,0:00,3 of 22,2 of 5,1 of 1,3 of 24,2 of 2,1 of 2,2 of 25,1 of 5,0 of 0,3 of 29,0 of 1,0 of 0
Aljamain Sterling,Johnny Eduardo,Submission,2,4:18,3 Rnd (5-5-5),Marc Goddard,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,3 of 20,24 of 43,0,0,2:18,0,2 of 5,5 of 8,0,0,0:01,1 of 12,1 of 5,1 of 3,2 of 15,1 of 1,0 of 4,0 of 2,0 of 0,2 of 3,2 of 5,0 of 0,0 of 0
Danny Roberts,Nathan Coy,Submission,1,2:46,3 Rnd (5-5-5),Jason Herzog,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,6 of 19,8 of 21,1,0,0:00,0,11 of 27,14 of 30,0,0,0:43,3 of 13,1 of 3,2 of 3,5 of 17,1 of 2,0 of 0,10 of 24,0 of 0,1 of 3,9 of 25,0 of 0,2 of 2
Tim Means,John Howard,KO/TKO,2,0:21,3 Rnd (5-5-5),Herb Dean,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,34 of 67,40 of 73,0,0,0:03,0,20 of 52,22 of 54,0,0,1:00,20 of 47,11 of 17,3 of 3,33 of 65,1 of 2,0 of 0,10 of 37,3 of 6,7 of 9,16 of 45,4 of 7,0 of 0
Sage Northcutt,Cody Pfister,Submission,2,0:41,3 Rnd (5-5-5),Mark Smith,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,8 of 8,19 of 20,0,0,1:36,0,4 of 6,39 of 42,0,0,3:05,6 of 6,2 of 2,0 of 0,2 of 2,0 of 0,6 of 6,4 of 6,0 of 0,0 of 0,0 of 1,0 of 0,4 of 5
Omari Akhmedov,Sergio Moraes,KO/TKO,3,2:18,3 Rnd (5-5-5),Jason Herzog,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,1,15 of 37,18 of 40,0,0,0:32,0,7 of 23,8 of 24,0,0,0:00,5 of 25,3 of 3,7 of 9,10 of 30,1 of 1,4 of 6,5 of 19,2 of 3,0 of 1,6 of 21,1 of 2,0 of 0
Jim Miller,Michael Chiesa,Submission,2,2:57,3 Rnd (5-5-5),Jason Herzog,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,4 of 7,14 of 21,0,1,2:27,0,4 of 12,9 of 20,0,0,1:54,3 of 6,1 of 1,0 of 0,4 of 7,0 of 0,0 of 0,3 of 11,1 of 1,0 of 0,1 of 9,0 of 0,3 of 3
Gabriel Benitez,Andre Fili,KO/TKO,1,3:13,3 Rnd (5-5-5),John McCarthy,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,11 of 26,11 of 26,0,0,0:00,1,16 of 42,16 of 42,0,0,0:07,3 of 16,2 of 2,6 of 8,11 of 25,0 of 1,0 of 0,10 of 34,4 of 4,2 of 4,15 of 41,1 of 1,0 of 0
Rose Namajunas,Paige VanZant,Submission,5,2:25,5 Rnd (5-5-5-5-5),Herb Dean,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,20 of 40,28 of 53,0,0,3:09,0,2 of 14,13 of 26,0,0,0:00,16 of 35,4 of 5,0 of 0,9 of 21,4 of 5,7 of 14,0 of 8,0 of 3,2 of 3,2 of 14,0 of 0,0 of 0
Elias Theodorou,Thiago Santos,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"December 10, 2015","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d,0,14 of 71,16 of 74,0,0,0:11,0,8 of 21,8 of 21,0,0,0:00,0 of 40,9 of 17,5 of 14,14 of 71,0 of 0,0 of 0,1 of 8,1 of 3,6 of 10,8 of 21,0 of 0,0 of 0
Cesar Arzamendia,Marco Polo Reyes,KO/TKO,1,3:42,3 Rnd (5-5-5),Mario Yamasaki,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,16 of 46,23 of 54,0,0,1:12,1,10 of 31,15 of 36,0,0,0:02,7 of 33,7 of 11,2 of 2,10 of 35,6 of 9,0 of 2,9 of 27,1 of 3,0 of 1,6 of 26,2 of 3,2 of 2
Hector Urbina,Bartosz Fabinski,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,0 of 2,1 of 3,0,0,0:00,0,8 of 11,42 of 54,0,0,4:50,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,8 of 11,0 of 0,0 of 0,1 of 1,0 of 0,7 of 10
Alejandro Perez,Scott Jorgensen,KO/TKO,2,4:26,3 Rnd (5-5-5),Gary Copeland,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,9 of 28,11 of 30,0,0,0:00,0,10 of 20,10 of 20,0,0,0:48,2 of 17,3 of 4,4 of 7,8 of 27,1 of 1,0 of 0,6 of 14,1 of 2,3 of 4,9 of 18,0 of 1,1 of 1
Erik Perez,Taylor Lapilus,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,10 of 48,10 of 48,0,0,0:00,0,15 of 45,15 of 45,0,0,0:02,6 of 39,4 of 7,0 of 2,9 of 46,1 of 2,0 of 0,8 of 34,3 of 4,4 of 7,14 of 44,1 of 1,0 of 0
Vernon Ramos Ho,Alvaro Herrera Mendoza,KO/TKO,1,0:30,3 Rnd (5-5-5),Dan Miragliotta,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,2 of 8,2 of 8,0,0,0:00,1,4 of 9,4 of 9,0,0,0:01,0 of 3,0 of 1,2 of 4,2 of 8,0 of 0,0 of 0,4 of 9,0 of 0,0 of 0,3 of 8,0 of 0,1 of 1
Efrain Escudero,Leandro Silva,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,10 of 30,19 of 40,0,0,1:05,0,15 of 37,15 of 37,0,0,0:20,1 of 14,6 of 9,3 of 7,8 of 24,2 of 6,0 of 0,7 of 23,6 of 10,2 of 4,14 of 34,1 of 3,0 of 0
Neil Magny,Kelvin Gastelum,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,7 of 26,17 of 37,0,0,1:55,0,10 of 12,10 of 12,0,0,0:33,6 of 22,0 of 1,1 of 3,3 of 21,0 of 0,4 of 5,5 of 7,1 of 1,4 of 4,9 of 11,1 of 1,0 of 0
Jussier Formiga,Henry Cejudo,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,9 of 29,13 of 34,0,0,0:00,0,15 of 43,20 of 48,0,0,0:12,4 of 21,5 of 7,0 of 1,4 of 22,5 of 7,0 of 0,3 of 27,10 of 11,2 of 5,5 of 30,10 of 13,0 of 0
Ricardo Lamas,Diego Sanchez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16,0,20 of 43,27 of 50,0,0,1:11,0,9 of 30,9 of 30,0,0,0:30,6 of 26,5 of 7,9 of 10,14 of 37,6 of 6,0 of 0,8 of 27,1 of 3,0 of 0,8 of 27,1 of 3,0 of 0
