fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Ivan Menjivar,Mike Easton,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,9 of 42,9 of 42,0,0,0:00,0,14 of 44,14 of 44,0,0,0:03,2 of 27,3 of 9,4 of 6,8 of 41,1 of 1,0 of 0,3 of 25,5 of 9,6 of 10,13 of 43,1 of 1,0 of 0
Wanderlei Silva,Rich Franklin,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mario Yamasaki,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,13 of 39,13 of 39,0,0,0:00,0,27 of 63,27 of 63,0,0,0:00,10 of 36,0 of 0,3 of 3,13 of 39,0 of 0,0 of 0,17 of 52,8 of 9,2 of 2,27 of 63,0 of 0,0 of 0
Godofredo Pepey,Rony Jason,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Marc Goddard,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,10 of 21,27 of 38,1,0,0:30,0,5 of 14,20 of 29,0,0,3:05,7 of 17,3 of 4,0 of 0,3 of 13,1 of 1,6 of 7,2 of 10,2 of 3,1 of 1,4 of 13,1 of 1,0 of 0
Chad Mendes,Cody McKenzie,KO/TKO,1,0:31,3 Rnd (5-5-5),Steve Mazzagatti,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,1,8 of 8,9 of 9,0,0,0:03,0,1 of 6,1 of 6,0,0,0:00,5 of 5,2 of 2,1 of 1,4 of 4,0 of 0,4 of 4,0 of 5,0 of 0,1 of 1,1 of 6,0 of 0,0 of 0
Gleison Tibau,Khabib Nurmagomedov,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,10 of 27,15 of 32,0,0,0:00,0,8 of 27,8 of 28,0,0,1:38,5 of 22,5 of 5,0 of 0,7 of 24,3 of 3,0 of 0,5 of 24,3 of 3,0 of 0,6 of 25,2 of 2,0 of 0
Melvin Guillard,Fabricio Camoes,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,8 of 28,18 of 41,0,0,0:53,0,5 of 27,18 of 42,0,1,0:58,5 of 25,2 of 2,1 of 1,6 of 20,1 of 4,1 of 4,2 of 21,2 of 3,1 of 3,4 of 22,0 of 1,1 of 4
Cezar Ferreira,Sergio Moraes,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Herb Dean,"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5,0,12 of 30,14 of 32,0,0,0:00,0,14 of 28,14 of 28,0,0,0:00,3 of 18,8 of 11,1 of 1,10 of 28,2 of 2,0 of 0,8 of 22,2 of 2,4 of 4,8 of 19,6 of 9,0 of 0
Anderson Silva,Chael Sonnen,KO/TKO,2,1:55,5 Rnd (5-5-5-5-5),Yves Lavigne,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,0 of 2,0 of 2,0,0,0:00,0,14 of 21,76 of 86,0,0,4:56,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,10 of 17,4 of 4,0 of 0,0 of 1,0 of 0,14 of 20
Cung Le,Patrick Cote,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,18 of 37,18 of 37,0,0,0:06,0,13 of 41,13 of 41,0,0,0:00,8 of 26,7 of 7,3 of 4,18 of 37,0 of 0,0 of 0,3 of 23,3 of 5,7 of 13,13 of 41,0 of 0,0 of 0
Forrest Griffin,Tito Ortiz,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,24 of 89,25 of 90,0,0,0:00,0,17 of 44,21 of 48,0,0,0:52,14 of 71,7 of 12,3 of 6,24 of 87,0 of 2,0 of 0,16 of 43,1 of 1,0 of 0,14 of 40,1 of 1,2 of 3
Dong Hyun Kim,Demian Maia,KO/TKO,1,0:47,3 Rnd (5-5-5),Mario Yamasaki,"July 07, 2012","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941,0,8 of 8,8 of 8,0,0,0:00,0,1 of 1,3 of 3,0,0,0:41,7 of 7,0 of 0,1 of 1,1 of 1,4 of 4,3 of 3,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1
Raphael Assuncao,Issei Tamura,KO/TKO,2,0:25,3 Rnd (5-5-5),Jason McCoy,"July 11, 2012","San Jose, California, USA",http://ufcstats.com/event-details/d3b5ad3b15a64a18,0,26 of 42,27 of 43,0,0,0:41,0,5 of 12,5 of 12,0,0,0:00,3 of 16,10 of 12,13 of 14,21 of 37,1 of 1,4 of 4,5 of 11,0 of 1,0 of 0,5 of 11,0 of 1,0 of 0
